"date","adm_core","adm_com","adm_less","adm_prom","adm_sch","adm_spec","adm_swim"
2010-01-01,0,0,0,0,0,0,0
2010-01-02,51,9,0,0,0,0,0
2010-01-03,31,0,0,0,0,17,0
2010-01-04,14,0,0,0,0,0,0
2010-01-05,18,7,0,0,0,0,0
2010-01-06,22,0,0,0,0,0,0
2010-01-07,11,0,0,0,0,0,0
2010-01-08,4,0,0,0,0,24,0
2010-01-09,22,0,0,0,0,30,0
2010-01-10,36,0,0,0,0,0,0
2010-01-11,22,0,0,0,37,0,47
2010-01-12,33,0,0,0,0,0,0
2010-01-13,15,0,0,0,0,0,0
2010-01-14,12,7,0,0,31,0,56
2010-01-15,1,0,0,0,0,72,0
2010-01-16,22,10,0,0,0,0,0
2010-01-17,23,0,0,0,0,0,0
2010-01-18,10,0,0,0,0,0,20
2010-01-19,14,11,0,0,171,0,52
2010-01-20,24,0,0,0,0,0,0
2010-01-21,16,0,0,0,110,0,20
2010-01-22,7,0,0,0,0,26,0
2010-01-23,17,11,0,0,0,0,0
2010-01-24,35,0,0,0,0,0,0
2010-01-25,13,0,0,0,0,0,0
2010-01-26,23,0,0,0,138,0,0
2010-01-27,12,0,0,0,0,0,0
2010-01-28,1,0,0,0,0,0,0
2010-01-29,2,0,0,0,0,20,0
2010-01-30,28,0,0,0,0,14,0
2010-01-31,33,0,0,0,0,19,0
2010-02-01,13,0,0,0,0,0,0
2010-02-02,26,4,0,0,0,0,0
2010-02-03,6,0,0,0,0,0,0
2010-02-04,14,0,0,0,0,0,0
2010-02-05,0,0,0,0,0,0,0
2010-02-06,21,0,0,0,0,0,0
2010-02-07,56,0,0,0,0,0,0
2010-02-08,5,0,0,0,0,0,0
2010-02-09,17,8,0,0,0,0,0
2010-02-10,10,0,0,0,0,0,0
2010-02-11,6,0,0,0,0,0,0
2010-02-12,4,0,0,0,0,21,0
2010-02-13,40,0,0,0,0,0,0
2010-02-14,29,0,0,0,0,0,0
2010-02-15,11,0,0,0,0,0,0
2010-02-16,12,2,0,0,0,0,0
2010-02-17,25,0,0,0,0,0,0
2010-02-18,17,0,0,0,0,0,0
2010-02-19,4,0,0,0,0,60,0
2010-02-20,62,0,0,0,0,0,0
2010-02-21,39,0,0,0,0,10,0
2010-02-22,12,0,0,0,0,0,0
2010-02-23,14,0,0,0,0,0,0
2010-02-24,9,0,0,0,0,0,0
2010-02-25,16,0,0,0,0,0,0
2010-02-26,2,0,0,0,0,41,0
2010-02-27,60,0,0,0,0,0,0
2010-02-28,42,0,0,0,0,0,0
2010-03-01,9,0,0,0,0,0,0
2010-03-02,19,0,0,0,0,0,0
2010-03-03,18,0,0,0,0,0,0
2010-03-04,19,0,0,0,0,0,0
2010-03-05,2,0,0,0,0,0,0
2010-03-06,45,0,0,0,0,36,0
2010-03-07,35,0,0,0,0,23,0
2010-03-08,18,0,0,0,0,0,0
2010-03-09,27,0,0,0,0,0,0
2010-03-10,15,0,0,0,0,0,0
2010-03-11,25,0,0,0,0,0,0
2010-03-12,2,0,0,0,0,49,0
2010-03-13,30,0,0,0,0,14,0
2010-03-14,32,0,0,0,0,0,0
2010-03-15,28,16,0,0,0,0,0
2010-03-16,66,0,0,0,0,0,0
2010-03-17,42,0,0,0,0,0,0
2010-03-18,51,0,0,0,0,0,0
2010-03-19,2,0,0,0,0,72,0
2010-03-20,64,0,0,0,0,0,0
2010-03-21,21,0,0,0,0,0,0
2010-03-22,22,0,0,0,0,0,0
2010-03-23,25,0,0,0,0,0,0
2010-03-24,20,0,0,0,0,0,0
2010-03-25,30,0,0,0,0,0,0
2010-03-26,4,0,0,0,0,0,0
2010-03-27,81,0,0,0,0,0,0
2010-03-28,56,0,0,0,0,17,0
2010-03-29,24,0,0,0,0,0,0
2010-03-30,29,0,0,0,0,0,0
2010-03-31,19,0,0,0,0,0,0
2010-04-01,20,9,0,0,0,0,0
2010-04-02,3,0,0,0,0,42,0
2010-04-03,34,0,0,0,0,7,0
2010-04-04,0,0,0,0,0,0,0
2010-04-05,25,0,0,0,0,0,0
2010-04-06,42,0,0,0,0,0,0
2010-04-07,36,0,0,0,0,0,0
2010-04-08,25,7,0,0,0,0,0
2010-04-09,3,0,0,0,0,173,0
2010-04-10,82,0,0,0,0,11,0
2010-04-11,36,0,0,0,0,0,0
2010-04-12,52,0,0,0,0,0,0
2010-04-13,39,3,0,0,0,0,0
2010-04-14,55,0,0,0,0,0,0
2010-04-15,38,5,0,0,0,0,0
2010-04-16,4,0,0,0,0,77,0
2010-04-17,67,0,0,0,0,28,0
2010-04-18,29,1,0,0,0,48,0
2010-04-19,35,11,0,0,0,0,0
2010-04-20,46,0,0,0,0,0,0
2010-04-21,39,2,0,0,0,0,0
2010-04-22,22,7,0,0,0,0,0
2010-04-23,2,0,0,0,0,62,0
2010-04-24,43,0,0,0,0,31,0
2010-04-25,41,0,0,0,0,40,0
2010-04-26,4,0,0,0,0,0,0
2010-04-27,26,0,0,0,0,0,0
2010-04-28,1,0,0,0,0,0,0
2010-04-29,38,1,0,0,0,0,0
2010-04-30,3,0,0,0,0,76,0
2010-05-01,86,0,410,0,0,0,0
2010-05-02,10,2,2,0,0,0,0
2010-05-03,20,3,8,0,0,0,0
2010-05-04,37,21,17,0,0,0,0
2010-05-05,38,31,7,0,0,0,0
2010-05-06,39,19,5,0,0,0,0
2010-05-07,5,0,7,0,0,72,0
2010-05-08,43,0,15,0,0,23,0
2010-05-09,25,0,1,0,0,25,0
2010-05-10,32,0,11,0,0,0,0
2010-05-11,5,0,9,0,0,0,0
2010-05-12,44,20,2,0,0,1,0
2010-05-13,37,2,14,0,0,0,0
2010-05-14,5,0,0,0,0,74,0
2010-05-15,60,15,7,0,0,0,0
2010-05-16,45,1,2,0,0,25,0
2010-05-17,65,11,24,0,0,0,0
2010-05-18,51,11,23,0,0,0,0
2010-05-19,53,0,2,0,0,0,0
2010-05-20,27,7,17,0,0,0,0
2010-05-21,5,0,2,0,0,136,0
2010-05-22,148,0,27,0,0,52,0
2010-05-23,36,0,9,0,0,0,0
2010-05-24,58,11,4,0,0,0,0
2010-05-25,48,0,10,0,0,0,0
2010-05-26,72,0,6,0,0,0,0
2010-05-27,6,0,7,0,0,0,0
2010-05-28,6,0,6,0,0,138,0
2010-05-29,536,2,136,1,0,0,2
2010-05-30,390,0,17,0,0,455,0
2010-05-31,1125,0,34,23,0,0,0
2010-06-01,709,77,53,34,0,0,0
2010-06-02,777,36,55,93,0,0,0
2010-06-03,1059,176,40,49,0,0,0
2010-06-04,1104,140,60,60,0,192,0
2010-06-05,1267,0,24,41,0,18,0
2010-06-06,676,0,9,6,0,947,0
2010-06-07,907,114,42,58,0,0,0
2010-06-08,1181,232,54,67,0,0,0
2010-06-09,1044,154,26,69,0,0,0
2010-06-10,1086,112,11,83,0,0,0
2010-06-11,1004,183,27,83,0,133,0
2010-06-12,621,16,5,39,0,0,1
2010-06-13,330,0,3,0,0,589,0
2010-06-14,681,78,12,59,0,0,9
2010-06-15,811,163,7,69,0,0,0
